Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58
D1,2003-08-01,Bayern Munich,Ein Frankfurt,3,1,H,3,0,H,17,6,19,17,4,3,1,2,0,0,1.2,5.0,11.0,1.25,5.0,10.0,1.25,4.5,9.0,1.25,4.5,10.0,1.22,5.0,10.0,1.22,5.0,10.0,1.25,4.5,10.0,1.5,2.25,,,2.0,1.8,-2.0,1.8,2.05,-1.75,,,,,,,,
D1,2003-08-02,Hamburg,Hannover,0,3,A,0,1,A,10,16,14,19,7,4,3,1,0,0,1.571,3.5,5.0,1.65,3.5,4.75,1.65,3.3,4.4,1.571,3.5,5.0,1.57,3.5,5.25,1.57,3.5,5.25,1.57,3.5,5.0,1.65,1.95,,,1.75,2.1,-0.75,2.05,1.8,-1.0,1.8,2.1,-0.75,,,,,
D1,2003-08-02,Hertha,Werder Bremen,0,3,A,0,2,A,23,19,12,23,6,6,1,1,0,0,1.833,3.2,3.75,1.85,3.25,4.0,1.8,3.1,3.8,1.8,3.25,3.75,1.83,3.3,3.75,1.8,3.25,4.0,1.72,3.4,4.0,1.7,1.9,,,1.8,2.0,-0.5,1.8,2.05,-0.5,2.025,1.875,-0.75,,,,,
D1,2003-08-02,Kaiserslautern,Munich 1860,0,1,A,0,1,A,13,15,17,21,8,8,2,3,1,0,1.8,3.3,3.75,1.85,3.25,3.9,1.9,3.1,3.5,1.8,3.25,3.75,1.85,3.25,3.75,1.85,3.25,3.75,1.9,3.2,3.5,1.65,1.95,,,1.8,2.0,-0.5,1.8,2.05,-0.5,1.825,2.075,-0.5,,,,,
D1,2003-08-02,Leverkusen,Freiburg,4,1,H,3,1,H,21,10,18,12,7,6,0,3,0,0,1.667,3.3,4.5,1.65,3.4,4.75,1.7,3.2,4.2,1.615,3.5,4.5,1.62,3.4,5.0,1.61,3.4,5.0,1.61,3.3,5.0,1.6,2.0,,,1.8,2.0,-0.75,1.8,2.05,-0.75,1.925,1.975,-0.75,,,,,
D1,2003-08-02,Schalke 04,Dortmund,2,2,D,1,0,H,20,7,25,25,7,3,2,3,1,0,2.375,3.1,2.625,2.35,3.2,2.75,2.3,3.0,2.7,2.375,3.2,2.6,2.3,3.1,2.8,2.3,3.1,2.8,2.3,3.1,2.75,1.75,1.85,,,2.05,1.75,-0.25,2.05,1.8,-0.25,2.125,1.775,-0.25,,,,,
D1,2003-08-02,Wolfsburg,Bochum,3,2,H,2,2,D,15,16,18,20,4,4,3,4,0,0,1.727,3.3,4.2,1.75,3.4,4.3,1.75,3.2,4.0,1.727,3.4,4.0,1.75,3.25,4.2,1.7,3.25,4.5,1.72,3.25,4.2,1.7,1.9,,,2.1,1.7,-1.0,1.8,2.05,-0.75,1.875,2.025,-0.75,,,,,
D1,2003-08-03,Hansa Rostock,Stuttgart,0,2,A,0,0,D,10,15,21,27,7,4,1,4,0,0,2.625,3.1,2.375,2.65,3.25,2.4,2.5,3.0,2.5,2.5,3.25,2.4,2.63,3.2,2.38,2.62,3.2,2.37,2.62,3.2,2.3,1.75,1.85,,,1.9,1.9,0.0,2.0,1.85,0.0,2.1,1.8,0.0,,,,,
D1,2003-08-03,M'gladbach,FC Koln,1,0,H,0,0,D,16,11,19,23,6,1,1,2,0,1,1.833,3.2,3.75,2.0,3.25,3.4,1.9,3.1,3.5,1.833,3.4,3.5,1.91,3.25,3.5,1.9,3.25,3.5,1.9,3.2,3.5,1.7,1.9,,,1.95,1.85,-0.5,1.95,1.9,-0.5,2.0,1.9,-0.5,,,,,
D1,2003-08-09,Bochum,Hamburg,1,1,D,1,1,D,12,13,11,28,5,3,0,3,0,0,2.4,3.25,2.5,2.5,3.25,2.55,2.5,3.0,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.37,3.1,2.62,1.65,2.05,1.8,1.9,1.85,1.95,0.0,1.95,1.9,0.0,1.875,2.025,0.0,,,,,
D1,2003-08-09,Dortmund,Wolfsburg,4,0,H,1,0,H,17,9,15,18,5,3,0,3,0,0,1.571,3.5,5.0,1.55,3.7,5.5,1.5,3.7,5.0,1.5,3.4,6.0,1.53,3.5,5.5,1.53,3.6,5.5,1.44,3.6,6.5,1.65,2.05,1.72,2.0,1.8,2.0,-0.75,2.05,1.8,-1.0,1.9,2.0,-0.75,,,,,
D1,2003-08-09,FC Koln,Kaiserslautern,1,2,A,1,1,D,21,18,17,20,3,12,3,5,0,0,2.25,3.2,2.75,2.4,3.25,2.65,2.5,3.0,2.5,2.25,3.4,2.625,2.62,3.2,2.38,2.25,3.2,2.8,2.2,3.2,2.8,1.71,2.0,1.8,1.9,1.8,2.0,0.0,1.75,2.1,0.0,2.075,1.825,-0.25,,,,,
D1,2003-08-09,Freiburg,Hansa Rostock,2,2,D,0,2,A,22,9,12,23,7,1,1,2,0,0,2.0,3.2,3.2,2.05,3.15,3.4,2.0,3.1,3.2,2.0,3.2,3.2,2.0,3.25,3.25,2.0,3.25,3.25,1.83,3.3,3.6,1.71,2.0,1.83,1.83,1.5,2.55,0.0,2.05,1.8,-0.5,2.125,1.775,-0.5,,,,,
D1,2003-08-09,Hannover,Bayern Munich,3,3,D,3,1,H,9,12,25,17,8,9,2,1,1,0,4.5,3.3,1.667,4.5,3.45,1.7,3.6,3.1,1.85,4.0,3.4,1.727,4.33,3.25,1.73,4.2,3.4,1.72,4.0,3.4,1.72,1.55,2.25,1.66,2.1,1.8,2.0,0.75,1.9,1.95,0.75,1.775,2.125,0.75,,,,,
D1,2003-08-09,Munich 1860,Schalke 04,1,1,D,1,0,H,10,13,21,20,4,2,2,0,0,0,2.4,3.25,2.5,2.5,3.25,2.55,2.5,3.0,2.5,2.5,3.25,2.4,2.38,3.2,2.63,2.37,3.2,2.62,2.3,3.2,2.62,1.75,1.95,1.8,1.9,1.9,1.9,0.0,1.95,1.9,0.0,1.875,2.025,0.0,,,,,
D1,2003-09-20,FC Koln,Wolfsburg,2,3,A,1,2,A,21,17,14,24,6,5,3,4,0,0,2.37,3.25,2.7,2.3,3.25,2.8,2.3,3.0,2.7,2.38,3.2,2.6,2.38,3.2,2.62,2.38,3.2,2.62,2.4,3.1,2.6,1.65,2.05,1.8,1.9,2.08,1.75,-0.25,2.1,1.75,-0.25,2.1,1.8,-0.25,,,,,
