Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,2025-08-22,Allianz Arena,Bayern Munich,RB Leipzig,H
2,1,2025-08-23,Voith-Arena,Heidenheim,Wolfsburg,A
3,1,2025-08-23,Millerntor-Stadion,St Pauli,Dortmund,D
4,1,2025-08-23,An der Alten FÃÂÃÂ¶rsterei,Union Berlin,Stuttgart,H
5,1,2025-08-24,Borussia-Park,M'gladbach,Hamburg,D
6,1,2025-08-24,Mewa Arena,Mainz,FC Koln,A
7,1,2025-08-23,Europa-Park Stadion,Freiburg,Augsburg,A
8,1,2025-08-23,Deutsche Bank Park,Ein Frankfurt,Werder Bremen,H
9,1,2025-08-23,BayArena,Leverkusen,Hoffenheim,A
10,2,2025-08-29,Volksparkstadion,Hamburg,St Pauli,A
11,2,2025-08-31,RheinEnergieStadion,FC Koln,Freiburg,H
12,2,2025-08-30,PreZero Arena,Hoffenheim,Ein Frankfurt,A
13,2,2025-08-30,WWK Arena,Augsburg,Bayern Munich,A
14,2,2025-08-31,Volkswagen Arena,Wolfsburg,Mainz,D
15,2,2025-08-30,MHPArena,Stuttgart,M'gladbach,H
16,2,2025-08-30,Weserstadion,Werder Bremen,Leverkusen,D
17,2,2025-08-30,Red Bull Arena,RB Leipzig,Heidenheim,H
18,2,2025-08-31,Signal Iduna Park,Dortmund,Union Berlin,H
19,3,2025-09-13,Voith-Arena,Heidenheim,Dortmund,A
20,3,2025-09-14,Millerntor-Stadion,St Pauli,Augsburg,H
21,3,2025-09-13,An der Alten FÃÂÃÂ¶rsterei,Union Berlin,Hoffenheim,A
22,3,2025-09-13,Volkswagen Arena,Wolfsburg,FC Koln,D
23,3,2025-09-14,Borussia-Park,M'gladbach,Werder Bremen,A
24,3,2025-09-13,Mewa Arena,Mainz,RB Leipzig,A
25,3,2025-09-13,Europa-Park Stadion,Freiburg,Stuttgart,H
26,3,2025-09-12,BayArena,Leverkusen,Ein Frankfurt,H
27,3,2025-09-13,Allianz Arena,Bayern Munich,Hamburg,H
28,4,2025-09-20,Volksparkstadion,Hamburg,Heidenheim,H
29,4,2025-09-20,PreZero Arena,Hoffenheim,Bayern Munich,A
30,4,2025-09-20,WWK Arena,Augsburg,Mainz,A
31,4,2025-09-19,MHPArena,Stuttgart,St Pauli,H
32,4,2025-09-20,Weserstadion,Werder Bremen,Freiburg,A
33,4,2025-09-20,Red Bull Arena,RB Leipzig,FC Koln,H
34,4,2025-09-21,Signal Iduna Park,Dortmund,Wolfsburg,H
35,4,2025-09-21,Deutsche Bank Park,Ein Frankfurt,Union Berlin,A
36,4,2025-09-21,BayArena,Leverkusen,M'gladbach,D
37,5,2025-09-28,RheinEnergieStadion,FC Koln,Stuttgart,
38,5,2025-09-27,Voith-Arena,Heidenheim,Augsburg,
39,5,2025-09-27,Millerntor-Stadion,St Pauli,Leverkusen,
40,5,2025-09-28,An der Alten FÃÂÃÂ¶rsterei,Union Berlin,Hamburg,
41,5,2025-09-27,Volkswagen Arena,Wolfsburg,RB Leipzig,
42,5,2025-09-27,Borussia-Park,M'gladbach,Ein Frankfurt,
43,5,2025-09-27,Mewa Arena,Mainz,Dortmund,
44,5,2025-09-28,Europa-Park Stadion,Freiburg,Hoffenheim,
45,5,2025-09-26,Allianz Arena,Bayern Munich,Werder Bremen,
46,6,2025-10-05,Volksparkstadion,Hamburg,Mainz,
47,6,2025-10-03,PreZero Arena,Hoffenheim,FC Koln,
48,6,2025-10-04,WWK Arena,Augsburg,Wolfsburg,
49,6,2025-10-05,Borussia-Park,M'gladbach,Freiburg,
50,6,2025-10-05,MHPArena,Stuttgart,Heidenheim,
51,6,2025-10-04,Weserstadion,Werder Bremen,St Pauli,
52,6,2025-10-04,Signal Iduna Park,Dortmund,RB Leipzig,
53,6,2025-10-04,Deutsche Bank Park,Ein Frankfurt,Bayern Munich,
54,6,2025-10-04,BayArena,Leverkusen,Union Berlin,
55,7,2025-10-18,RheinEnergieStadion,FC Koln,Augsburg,
56,7,2025-10-18,Voith-Arena,Heidenheim,Werder Bremen,
57,7,2025-10-19,Millerntor-Stadion,St Pauli,Hoffenheim,
58,7,2025-10-17,An der Alten FÃÂÃÂ¶rsterei,Union Berlin,M'gladbach,
59,7,2025-10-18,Volkswagen Arena,Wolfsburg,Stuttgart,
60,7,2025-10-18,Red Bull Arena,RB Leipzig,Hamburg,
61,7,2025-10-18,Mewa Arena,Mainz,Leverkusen,
62,7,2025-10-19,Europa-Park Stadion,Freiburg,Ein Frankfurt,
63,7,2025-10-18,Allianz Arena,Bayern Munich,Dortmund,
64,8,2025-10-25,Volksparkstadion,Hamburg,Wolfsburg,
65,8,2025-10-25,PreZero Arena,Hoffenheim,Heidenheim,
66,8,2025-10-25,WWK Arena,Augsburg,RB Leipzig,
67,8,2025-10-25,Borussia-Park,M'gladbach,Bayern Munich,
68,8,2025-10-26,MHPArena,Stuttgart,Mainz,
69,8,2025-10-24,Weserstadion,Werder Bremen,Union Berlin,
70,8,2025-10-25,Signal Iduna Park,Dortmund,FC Koln,
71,8,2025-10-25,Deutsche Bank Park,Ein Frankfurt,St Pauli,
72,8,2025-10-26,BayArena,Leverkusen,Freiburg,
73,9,2025-11-02,RheinEnergieStadion,FC Koln,Hamburg,
74,9,2025-11-01,Voith-Arena,Heidenheim,Ein Frankfurt,
75,9,2025-11-01,Millerntor-Stadion,St Pauli,M'gladbach,
76,9,2025-11-01,An der Alten FÃÂÃÂ¶rsterei,Union Berlin,Freiburg,
77,9,2025-10-31,WWK Arena,Augsburg,Dortmund,
78,9,2025-11-02,Volkswagen Arena,Wolfsburg,Hoffenheim,
79,9,2025-11-01,Red Bull Arena,RB Leipzig,Stuttgart,
80,9,2025-11-01,Mewa Arena,Mainz,Werder Bremen,
81,9,2025-11-01,Allianz Arena,Bayern Munich,Leverkusen,
82,10,2025-11-08,Volksparkstadion,Hamburg,Dortmund,
83,10,2025-11-08,PreZero Arena,Hoffenheim,RB Leipzig,
84,10,2025-11-08,An der Alten FÃÂÃÂ¶rsterei,Union Berlin,Bayern Munich,
85,10,2025-11-08,Borussia-Park,M'gladbach,FC Koln,
86,10,2025-11-09,MHPArena,Stuttgart,Augsburg,
87,10,2025-11-07,Weserstadion,Werder Bremen,Wolfsburg,
88,10,2025-11-09,Europa-Park Stadion,Freiburg,St Pauli,
89,10,2025-11-09,Deutsche Bank Park,Ein Frankfurt,Mainz,
90,10,2025-11-08,BayArena,Leverkusen,Heidenheim,
91,11,2025-11-22,RheinEnergieStadion,FC Koln,Ein Frankfurt,
92,11,2025-11-22,Voith-Arena,Heidenheim,M'gladbach,
93,11,2025-11-23,Millerntor-Stadion,St Pauli,Union Berlin,
94,11,2025-11-22,WWK Arena,Augsburg,Hamburg,
95,11,2025-11-22,Volkswagen Arena,Wolfsburg,Leverkusen,
96,11,2025-11-23,Red Bull Arena,RB Leipzig,Werder Bremen,
97,11,2025-11-21,Mewa Arena,Mainz,Hoffenheim,
98,11,2025-11-22,Signal Iduna Park,Dortmund,Stuttgart,
99,11,2025-11-22,Allianz Arena,Bayern Munich,Freiburg,
100,12,2025-11-30,Volksparkstadion,Hamburg,Stuttgart,
101,12,2025-11-29,PreZero Arena,Hoffenheim,Augsburg,
102,12,2025-11-29,An der Alten FÃÂÃÂ¶rsterei,Union Berlin,Heidenheim,
103,12,2025-11-28,Borussia-Park,M'gladbach,RB Leipzig,
104,12,2025-11-29,Weserstadion,Werder Bremen,FC Koln,
105,12,2025-11-30,Europa-Park Stadion,Freiburg,Mainz,
106,12,2025-11-30,Deutsche Bank Park,Ein Frankfurt,Wolfsburg,
107,12,2025-11-29,BayArena,Leverkusen,Dortmund,
108,12,2025-11-29,Allianz Arena,Bayern Munich,St Pauli,
109,13,2025-12-06,Volksparkstadion,Hamburg,Werder Bremen,
110,13,2025-12-06,RheinEnergieStadion,FC Koln,St Pauli,
111,13,2025-12-06,Voith-Arena,Heidenheim,Freiburg,
112,13,2025-12-06,WWK Arena,Augsburg,Leverkusen,
113,13,2025-12-06,Volkswagen Arena,Wolfsburg,Union Berlin,
114,13,2025-12-06,MHPArena,Stuttgart,Bayern Munich,
115,13,2025-12-06,Red Bull Arena,RB Leipzig,Ein Frankfurt,
116,13,2025-12-06,Mewa Arena,Mainz,M'gladbach,
117,13,2025-12-06,Signal Iduna Park,Dortmund,Hoffenheim,
118,14,2025-12-13,PreZero Arena,Hoffenheim,Hamburg,
119,14,2025-12-13,Millerntor-Stadion,St Pauli,Heidenheim,
120,14,2025-12-13,An der Alten FÃÂÃÂ¶rsterei,Union Berlin,RB Leipzig,
121,14,2025-12-13,Borussia-Park,M'gladbach,Wolfsburg,
122,14,2025-12-13,Weserstadion,Werder Bremen,Stuttgart,
123,14,2025-12-13,Europa-Park Stadion,Freiburg,Dortmund,
124,14,2025-12-13,Deutsche Bank Park,Ein Frankfurt,Augsburg,
125,14,2025-12-13,BayArena,Leverkusen,FC Koln,
126,14,2025-12-13,Allianz Arena,Bayern Munich,Mainz,
127,15,2025-12-20,Volksparkstadion,Hamburg,Ein Frankfurt,
128,15,2025-12-20,RheinEnergieStadion,FC Koln,Union Berlin,
129,15,2025-12-20,Voith-Arena,Heidenheim,Bayern Munich,
130,15,2025-12-20,WWK Arena,Augsburg,Werder Bremen,
131,15,2025-12-20,Volkswagen Arena,Wolfsburg,Freiburg,
132,15,2025-12-20,MHPArena,Stuttgart,Hoffenheim,
133,15,2025-12-20,Red Bull Arena,RB Leipzig,Leverkusen,
134,15,2025-12-20,Mewa Arena,Mainz,St Pauli,
135,15,2025-12-20,Signal Iduna Park,Dortmund,M'gladbach,
136,16,2026-01-10,Voith-Arena,Heidenheim,FC Koln,
137,16,2026-01-10,Millerntor-Stadion,St Pauli,RB Leipzig,
138,16,2026-01-10,An der Alten FÃÂÃÂ¶rsterei,Union Berlin,Mainz,
139,16,2026-01-10,Borussia-Park,M'gladbach,Augsburg,
140,16,2026-01-10,Weserstadion,Werder Bremen,Hoffenheim,
141,16,2026-01-10,Europa-Park Stadion,Freiburg,Hamburg,
142,16,2026-01-10,Deutsche Bank Park,Ein Frankfurt,Dortmund,
143,16,2026-01-10,BayArena,Leverkusen,Stuttgart,
144,16,2026-01-10,Allianz Arena,Bayern Munich,Wolfsburg,
145,17,2026-01-13,Volksparkstadion,Hamburg,Leverkusen,
146,17,2026-01-13,RheinEnergieStadion,FC Koln,Bayern Munich,
147,17,2026-01-13,PreZero Arena,Hoffenheim,M'gladbach,
148,17,2026-01-13,WWK Arena,Augsburg,Union Berlin,
149,17,2026-01-13,Volkswagen Arena,Wolfsburg,St Pauli,
150,17,2026-01-13,MHPArena,Stuttgart,Ein Frankfurt,
151,17,2026-01-13,Red Bull Arena,RB Leipzig,Freiburg,
152,17,2026-01-13,Mewa Arena,Mainz,Heidenheim,
153,17,2026-01-13,Signal Iduna Park,Dortmund,Werder Bremen,
154,18,2026-01-17,Volksparkstadion,Hamburg,M'gladbach,
155,18,2026-01-17,RheinEnergieStadion,FC Koln,Mainz,
156,18,2026-01-17,PreZero Arena,Hoffenheim,Leverkusen,
157,18,2026-01-17,WWK Arena,Augsburg,Freiburg,
158,18,2026-01-17,Volkswagen Arena,Wolfsburg,Heidenheim,
159,18,2026-01-17,MHPArena,Stuttgart,Union Berlin,
160,18,2026-01-17,Weserstadion,Werder Bremen,Ein Frankfurt,
161,18,2026-01-17,Red Bull Arena,RB Leipzig,Bayern Munich,
162,18,2026-01-17,Signal Iduna Park,Dortmund,St Pauli,
163,19,2026-01-24,Voith-Arena,Heidenheim,RB Leipzig,
164,19,2026-01-24,Millerntor-Stadion,St Pauli,Hamburg,
165,19,2026-01-24,An der Alten FÃÂÃÂ¶rsterei,Union Berlin,Dortmund,
166,19,2026-01-24,Borussia-Park,M'gladbach,Stuttgart,
167,19,2026-01-24,Mewa Arena,Mainz,Wolfsburg,
168,19,2026-01-24,Europa-Park Stadion,Freiburg,FC Koln,
169,19,2026-01-24,Deutsche Bank Park,Ein Frankfurt,Hoffenheim,
170,19,2026-01-24,BayArena,Leverkusen,Werder Bremen,
171,19,2026-01-24,Allianz Arena,Bayern Munich,Augsburg,
172,20,2026-01-31,Volksparkstadion,Hamburg,Bayern Munich,
173,20,2026-01-31,RheinEnergieStadion,FC Koln,Wolfsburg,
174,20,2026-01-31,PreZero Arena,Hoffenheim,Union Berlin,
175,20,2026-01-31,WWK Arena,Augsburg,St Pauli,
176,20,2026-01-31,MHPArena,Stuttgart,Freiburg,
177,20,2026-01-31,Weserstadion,Werder Bremen,M'gladbach,
178,20,2026-01-31,Red Bull Arena,RB Leipzig,Mainz,
