Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
SP1,2001-08-25,Valencia,Real Madrid,1,0,H,1,0,H,,,,2.4,2.9,2.4,,,,,,,2.6,3.0,2.5,2.75,3.1,2.3
SP1,2001-08-26,La Coruna,Valladolid,4,0,H,1,0,H,,,,1.35,3.8,6.2,1.25,4.5,10.0,,,,1.33,4.33,7.0,1.3,4.2,8.5
SP1,2001-08-26,Espanol,Zaragoza,2,1,H,1,1,D,,,,1.85,2.9,3.4,1.73,3.4,4.0,,,,1.91,3.2,3.5,1.83,3.4,3.5
SP1,2001-08-26,Malaga,Betis,3,2,H,1,1,D,,,,1.7,3.1,3.8,1.8,3.2,4.0,,,,1.83,3.2,3.75,1.8,3.4,3.6
SP1,2001-08-26,Mallorca,Las Palmas,0,3,A,0,1,A,,,,1.45,3.5,5.0,1.5,3.4,6.0,,,,1.44,3.6,6.5,1.44,3.5,7.0
SP1,2001-08-26,Osasuna,Celta,0,3,A,0,1,A,,,,2.4,2.9,2.4,2.6,3.2,2.37,,,,2.6,3.2,2.38,,,
SP1,2001-08-26,Sociedad,Ath Bilbao,1,3,A,1,1,D,,,,2.1,2.9,2.9,2.1,3.2,3.0,,,,2.2,3.0,3.0,2.2,3.2,2.8
SP1,2001-08-26,Vallecano,Villarreal,1,2,A,1,2,A,,,,2.1,2.9,2.9,2.2,3.25,2.75,,,,2.2,3.2,2.8,2.25,3.2,2.75
SP1,2001-08-26,Sevilla,Barcelona,1,2,A,0,1,A,,,,3.2,2.9,1.9,3.4,3.25,1.91,,,,3.75,3.25,1.8,3.75,3.2,1.83
SP1,2001-08-26,Tenerife,Alaves,0,2,A,0,1,A,,,,2.1,2.9,2.9,2.4,3.25,2.5,,,,2.38,3.2,2.6,2.25,3.2,2.75
SP1,2001-09-08,Ath Bilbao,Mallorca,0,1,A,0,0,D,,,,1.9,2.9,3.2,2.1,3.2,3.0,2.1,3.1,3.1,2.1,3.2,3.0,2.0,3.2,3.2
SP1,2001-09-08,Las Palmas,La Coruna,0,1,A,0,0,D,,,,2.4,2.9,2.4,3.0,3.0,2.2,2.9,3.0,2.25,2.88,3.0,2.25,2.8,3.0,2.3
SP1,2001-09-08,Real Madrid,Malaga,1,1,D,1,0,H,,,,1.25,4.3,8.0,1.3,4.0,9.0,1.3,4.33,8.0,1.33,4.33,7.0,1.25,4.5,10.0
SP1,2001-09-08,Villarreal,Osasuna,3,0,H,1,0,H,,,,1.55,3.3,4.5,1.5,3.4,6.0,1.5,3.4,6.0,1.5,3.4,6.0,,,
SP1,2001-09-09,Alaves,Sociedad,2,0,H,1,0,H,,,,1.8,3.0,3.5,1.73,3.2,4.33,1.7,3.25,4.33,1.8,3.0,4.33,1.8,3.3,3.75
SP1,2001-09-09,Barcelona,Vallecano,1,1,D,0,0,D,,,,1.2,4.7,9.0,1.25,4.5,10.0,1.3,4.33,8.0,1.29,4.5,8.0,1.28,4.5,8.0
SP1,2001-09-09,Betis,Espanol,2,0,H,2,0,H,,,,2.0,2.9,3.0,2.37,3.2,2.6,2.2,3.0,3.0,2.38,3.2,2.62,2.2,3.0,3.0
SP1,2001-09-09,Celta,Tenerife,3,0,H,2,0,H,,,,1.4,3.6,5.5,1.36,3.75,8.0,1.36,3.8,7.5,1.4,3.75,7.0,1.36,3.75,8.0
SP1,2001-09-09,Valladolid,Valencia,1,1,D,1,0,H,,,,2.4,2.9,2.4,2.8,3.2,2.2,3.0,3.0,2.2,2.8,3.2,2.2,2.8,3.1,2.25
SP1,2001-09-09,Zaragoza,Sevilla,1,1,D,0,0,D,,,,1.75,3.1,3.6,1.73,3.2,4.33,1.7,3.25,4.33,1.67,3.25,4.5,1.61,3.3,5.0
SP1,2001-09-15,Betis,Real Madrid,3,1,H,1,1,D,,,,3.0,2.9,2.0,4.0,3.2,1.8,3.5,3.2,1.91,3.75,3.2,1.83,3.4,3.25,1.9
SP1,2001-09-15,La Coruna,Ath Bilbao,1,2,A,0,1,A,,,,1.45,3.5,5.0,1.3,4.0,9.0,1.36,3.75,8.0,1.4,3.75,7.0,1.36,3.75,8.0
SP1,2001-09-15,Mallorca,Alaves,0,0,D,0,0,D,,,,1.85,2.9,3.4,1.8,3.2,4.0,1.73,3.2,4.33,1.67,3.25,4.5,1.72,3.2,4.33
SP1,2001-09-15,Osasuna,Barcelona,0,0,D,0,0,D,,,,3.6,3.1,1.75,4.5,3.25,1.67,4.0,3.4,1.73,3.75,3.25,1.8,,,
SP1,2001-09-16,Espanol,Sevilla,2,3,A,1,1,D,,,,1.75,3.1,3.6,1.73,3.2,4.33,1.67,3.25,4.6,1.67,3.25,4.5,1.61,3.3,5.0
SP1,2001-09-16,Malaga,Valladolid,1,2,A,0,1,A,,,,1.7,3.1,3.8,1.57,3.25,5.5,1.62,3.3,5.0,1.67,3.25,4.5,1.61,3.3,5.0
SP1,2001-09-16,Sociedad,Celta,0,0,D,0,0,D,,,,2.4,2.9,2.4,2.75,3.2,2.25,3.0,3.2,2.1,2.8,3.2,2.2,2.7,3.1,2.3
SP1,2001-09-16,Vallecano,Zaragoza,1,2,A,1,0,H,,,,2.1,2.9,2.9,2.0,3.2,3.2,2.0,3.1,3.3,2.1,3.0,3.2,1.9,3.2,3.5
SP1,2001-09-16,Tenerife,Villarreal,2,0,H,1,0,H,,,,2.3,2.9,2.5,2.75,3.2,2.25,2.62,3.1,2.38,2.38,3.1,2.62,2.5,3.1,2.5
SP1,2001-09-16,Valencia,Las Palmas,1,0,H,0,0,D,,,,1.4,3.6,5.5,1.33,4.0,8.0,1.33,4.0,8.0,1.36,4.0,7.0,1.5,2.87,9.0
SP1,2001-09-22,Alaves,La Coruna,2,3,A,0,1,A,,,,2.2,2.9,2.7,2.5,3.2,2.5,2.3,3.1,2.7,2.5,3.1,2.5,2.37,3.1,2.62
SP1,2001-09-22,Barcelona,Tenerife,2,0,H,1,0,H,,,,1.25,4.3,8.0,1.33,4.0,8.0,1.3,4.33,8.0,1.29,4.5,8.0,1.25,4.5,10.0
SP1,2001-09-22,Las Palmas,Malaga,0,0,D,0,0,D,,,,2.1,2.9,2.9,2.2,3.0,3.0,2.2,3.0,3.0,2.2,3.0,3.0,2.1,3.1,3.1
SP1,2001-09-22,Real Madrid,Espanol,5,1,H,3,0,H,,,,1.3,4.0,7.0,1.33,3.75,9.0,1.33,4.0,8.0,1.33,4.33,7.5,1.3,4.2,8.5
SP1,2001-09-22,Villarreal,Sociedad,1,0,H,0,0,D,,,,1.7,3.1,3.8,1.67,3.25,4.5,1.67,3.3,4.6,1.73,3.2,4.33,1.61,3.3,5.0
SP1,2001-09-23,Ath Bilbao,Valencia,2,2,D,0,1,A,,,,2.2,2.9,2.7,2.5,2.87,2.62,2.5,3.0,2.6,2.5,3.1,2.5,2.3,3.0,2.8
SP1,2001-09-23,Celta,Mallorca,2,0,H,1,0,H,,,,1.75,3.1,3.6,1.73,3.2,4.33,1.83,3.1,4.0,1.8,3.25,4.0,1.66,3.3,4.5
SP1,2001-09-23,Sevilla,Vallecano,2,1,H,0,1,A,,,,1.9,2.8,3.3,2.0,3.2,3.2,2.0,3.2,3.25,2.1,3.0,3.2,1.9,3.2,3.5
SP1,2001-09-23,Valladolid,Betis,0,2,A,0,0,D,,,,2.1,2.8,3.0,2.2,3.2,2.8,2.2,3.2,2.88,2.2,3.0,3.0,2.1,3.1,3.1
SP1,2001-09-23,Zaragoza,Osasuna,0,1,A,0,1,A,,,,1.55,3.3,4.5,1.61,3.25,5.0,1.62,3.4,5.0,1.67,3.4,4.33,,,
SP1,2001-09-29,Espanol,Vallecano,3,1,H,1,0,H,,,,1.8,3.0,3.5,1.8,3.2,4.0,1.85,3.2,3.7,1.8,3.25,3.75,1.72,3.2,4.33
SP1,2001-09-29,Malaga,Ath Bilbao,1,2,A,0,1,A,,,,2.1,2.9,2.9,2.1,3.2,3.0,2.1,3.1,3.1,2.0,3.2,3.2,2.1,3.2,3.0
SP1,2001-09-29,Real Madrid,Valladolid,2,2,D,2,1,H,,,,1.25,4.3,8.0,1.25,4.5,10.0,1.22,5.0,9.0,1.22,5.0,9.0,1.22,5.0,9.5
SP1,2001-09-29,Sociedad,Barcelona,0,2,A,0,1,A,,,,3.1,3.0,1.9,3.75,3.25,1.8,3.75,3.1,1.91,3.75,3.2,1.83,3.5,3.2,1.9
SP1,2001-09-30,Betis,Las Palmas,1,0,H,0,0,D,,,,1.65,3.1,4.0,1.73,3.2,4.33,1.62,3.3,5.0,1.73,3.2,4.33,1.61,3.1,5.5
SP1,2001-09-30,La Coruna,Celta,2,2,D,0,1,A,,,,1.7,3.0,4.0,1.8,3.2,4.0,1.85,3.2,3.75,1.8,3.2,4.0,1.72,3.1,4.5
SP1,2001-09-30,Mallorca,Villarreal,0,1,A,0,1,A,,,,1.7,3.0,4.0,1.91,3.2,3.5,1.85,3.2,3.8,1.8,3.25,3.75,1.83,3.2,3.75
SP1,2001-09-30,Osasuna,Sevilla,1,0,H,0,0,D,,,,2.2,2.8,2.8,2.25,3.2,2.75,2.2,3.0,3.0,2.1,3.1,3.1,,,
SP1,2001-09-30,Tenerife,Zaragoza,0,0,D,0,0,D,,,,2.0,2.8,3.1,2.1,3.2,3.0,2.1,3.1,3.1,2.2,3.1,2.88,2.1,3.2,3.0
SP1,2001-09-30,Valencia,Alaves,0,0,D,0,0,D,,,,1.55,3.3,4.5,1.53,3.4,5.5,1.57,3.3,5.5,1.53,3.4,5.5,1.53,3.4,5.5
SP1,2001-10-03,Alaves,Malaga,1,0,H,0,0,D,,,,1.75,3.1,3.6,1.8,3.2,4.0,1.73,3.25,4.33,,,,1.66,3.3,4.5
SP1,2001-10-03,Ath Bilbao,Betis,0,0,D,0,0,D,,,,1.85,2.9,3.4,1.91,3.2,3.5,1.91,3.2,3.5,,,,1.9,3.2,3.5
SP1,2001-10-03,Barcelona,Mallorca,3,0,H,3,0,H,,,,1.45,3.5,5.0,1.33,4.0,8.0,1.4,3.8,7.0,,,,1.4,3.75,7.0
SP1,2001-10-03,Las Palmas,Real Madrid,4,2,H,2,2,D,,,,3.2,2.9,1.9,4.0,3.0,1.83,3.75,3.2,1.85,,,,3.75,3.2,1.83
SP1,2001-10-03,Vallecano,Osasuna,0,1,A,0,1,A,,,,1.8,2.9,3.6,2.0,3.2,3.2,1.95,3.2,3.4,,,,,,
SP1,2001-10-03,Sevilla,Tenerife,2,0,H,1,0,H,,,,1.65,3.1,4.0,1.8,3.2,4.0,1.75,3.2,4.33,,,,1.72,3.2,4.33
SP1,2001-10-03,Valladolid,Espanol,0,1,A,0,1,A,,,,2.0,2.9,3.0,2.0,3.2,3.2,2.0,3.2,3.25,,,,2.0,3.2,3.2
SP1,2001-10-03,Villarreal,La Coruna,1,1,D,1,0,H,,,,2.4,2.9,2.4,2.6,3.2,2.37,2.5,3.1,2.5,,,,2.4,3.1,2.6
SP1,2001-10-03,Zaragoza,Sociedad,3,2,H,1,1,D,,,,1.85,2.9,3.4,1.61,3.25,5.0,1.62,3.25,5.0,,,,1.72,3.2,4.33
SP1,2001-10-04,Celta,Valencia,1,1,D,0,1,A,,,,1.9,2.9,3.2,2.1,3.0,3.2,1.91,3.2,3.5,,,,2.0,3.2,3.2
SP1,2001-10-06,La Coruna,Barcelona,2,1,H,0,1,A,,,,2.1,2.9,2.9,2.2,3.25,2.75,2.25,3.2,2.75,2.2,3.2,2.8,2.25,3.1,2.8
SP1,2001-10-06,Real Madrid,Ath Bilbao,2,0,H,0,0,D,,,,1.6,3.3,4.0,1.5,3.4,6.0,1.4,3.75,7.0,1.44,3.75,6.0,1.44,3.6,6.5
SP1,2001-10-07,Betis,Alaves,1,0,H,0,0,D,,,,2.0,2.9,3.0,2.0,3.2,3.2,1.91,3.2,3.5,2.0,3.2,3.2,1.83,3.3,3.6
SP1,2001-10-07,Espanol,Osasuna,1,1,D,0,0,D,,,,1.7,3.1,3.8,1.83,3.2,3.75,1.75,3.2,4.2,1.67,3.4,4.33,,,
SP1,2001-10-07,Malaga,Celta,2,2,D,2,0,H,,,,2.4,2.9,2.4,2.75,3.2,2.25,2.62,3.1,2.38,2.6,3.2,2.38,2.6,3.1,2.4
SP1,2001-10-07,Mallorca,Zaragoza,0,1,A,0,0,D,,,,1.7,3.1,3.8,1.8,3.25,3.75,1.85,3.2,3.75,1.83,3.2,3.75,1.72,3.25,4.2
SP1,2001-10-07,Sociedad,Sevilla,3,3,D,2,0,H,,,,2.1,2.8,3.0,2.37,3.2,2.6,2.2,3.1,2.9,2.1,3.2,3.0,2.2,3.2,2.8
SP1,2001-10-07,Tenerife,Vallecano,3,1,H,1,1,D,,,,2.0,2.7,3.2,1.8,3.25,3.75,1.91,3.25,3.5,1.91,3.25,3.4,1.9,3.25,3.4
SP1,2001-10-07,Valencia,Villarreal,1,0,H,1,0,H,,,,1.6,3.2,4.2,1.73,3.2,4.33,1.8,3.1,4.25,1.62,3.5,4.5,1.8,3.1,4.0
SP1,2001-10-07,Valladolid,Las Palmas,1,0,H,1,0,H,,,,1.9,2.8,3.3,2.0,3.2,3.2,1.95,3.2,3.4,2.0,3.2,3.2,1.9,3.2,3.5
SP1,2001-10-13,Alaves,Real Madrid,0,0,D,0,0,D,,,,2.9,2.9,2.1,2.8,3.2,2.2,,,,2.8,3.2,2.2,3.0,3.2,2.1
SP1,2001-10-13,Sevilla,Mallorca,2,2,D,2,2,D,,,,2.1,2.9,3.2,1.91,3.2,3.5,,,,2.0,3.2,3.2,1.9,3.2,3.5
SP1,2001-10-13,Zaragoza,La Coruna,1,2,A,0,1,A,,,,2.5,3.0,2.5,2.8,3.2,2.2,,,,2.6,3.2,2.38,2.62,3.1,2.37
