Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
F1,2000-07-28,Marseille,Troyes,3,1,H,2,1,H,1.65,3.3,4.3,1.45,3.5,5.0,,,,1.53,3.5,5.5,1.45,3.5,6.0
F1,2000-07-28,Paris SG,Strasbourg,3,1,H,1,1,D,1.6,3.4,4.6,1.35,3.6,6.5,,,,1.4,3.75,7.0,1.4,3.7,6.5
F1,2000-07-29,Auxerre,Sedan,0,1,A,0,1,A,1.7,3.3,3.9,1.7,3.1,3.8,,,,1.7,3.25,4.5,1.65,3.25,4.7
F1,2000-07-29,Bordeaux,Metz,1,1,D,1,0,H,1.65,3.3,4.3,1.55,3.3,4.5,,,,1.57,3.4,5.25,1.5,3.4,6.0
F1,2000-07-29,Guingamp,St Etienne,2,2,D,2,1,H,2.25,3.0,2.75,2.2,2.8,2.8,,,,2.5,3.2,2.5,2.4,2.9,2.75
F1,2000-07-29,Lille,Monaco,1,1,D,0,1,A,2.75,3.0,2.25,2.4,2.9,2.4,,,,3.25,3.2,2.0,2.9,3.0,2.25
F1,2000-07-29,Lyon,Rennes,2,2,D,0,2,A,1.6,3.4,4.6,1.5,3.4,4.7,,,,1.44,3.6,6.5,1.55,3.5,5.3
F1,2000-07-29,Nantes,Lens,0,2,A,0,0,D,2.15,3.0,3.0,2.0,2.9,3.0,,,,2.25,3.2,2.75,2.1,3.1,3.1
F1,2000-07-29,Toulouse,Bastia,0,1,A,0,0,D,2.0,3.0,3.5,1.9,2.8,3.3,,,,2.1,3.2,3.0,1.85,3.15,3.8
F1,2000-08-03,Sedan,Lyon,1,1,D,0,0,D,2.1,3.1,3.2,2.2,2.8,2.8,,,,2.38,3.2,2.63,2.4,3.0,2.6
F1,2000-08-04,Monaco,Nantes,2,5,A,1,4,A,1.4,4.0,6.0,1.4,3.6,5.5,,,,1.4,4.0,6.5,1.44,3.5,6.5
F1,2000-08-04,St Etienne,Marseille,3,0,H,1,0,H,2.35,3.0,2.75,2.2,2.8,2.8,,,,2.38,3.2,2.6,2.3,3.0,2.75
F1,2000-08-05,Bastia,Bordeaux,2,0,H,1,0,H,1.8,3.1,4.0,2.1,2.8,3.0,,,,2.25,3.2,2.75,2.25,3.1,2.75
F1,2000-08-05,Lens,Guingamp,3,2,H,1,0,H,1.4,3.2,8.0,1.5,3.2,5.0,,,,1.5,3.6,5.75,1.44,3.5,6.5
F1,2000-08-05,Metz,Auxerre,1,2,A,1,1,D,1.8,3.0,4.2,1.8,2.9,3.6,,,,2.0,3.2,3.25,2.2,3.1,2.8
F1,2000-08-05,Rennes,Paris SG,1,1,D,1,0,H,2.45,3.05,2.6,2.9,2.9,2.1,,,,2.8,3.25,2.2,2.8,3.1,2.2
F1,2000-08-05,Strasbourg,Lille,0,4,A,0,1,A,1.7,3.1,4.4,1.7,3.0,3.8,,,,1.75,3.25,4.2,1.75,3.2,4.0
F1,2000-08-05,Troyes,Toulouse,1,1,D,1,1,D,2.15,3.2,2.9,1.8,2.9,3.6,,,,1.83,3.2,3.8,2.1,3.0,3.1
F1,2000-08-12,Auxerre,Bastia,1,0,H,1,0,H,1.75,3.0,3.9,1.75,3.1,3.6,,,,1.7,3.25,4.33,1.66,3.25,4.5
F1,2000-08-12,Bordeaux,Troyes,2,2,D,1,1,D,1.38,4.0,7.0,1.35,3.8,6.2,,,,1.4,3.75,7.0,1.4,3.75,7.0
F1,2000-08-12,Guingamp,Nantes,0,1,A,0,1,A,2.4,3.0,2.75,2.2,2.8,2.8,,,,2.4,3.0,2.7,2.4,3.0,2.7
F1,2000-08-12,Lille,Rennes,1,0,H,0,0,D,2.0,3.0,3.4,2.0,2.9,3.0,,,,2.05,3.0,3.4,2.0,3.1,3.25
F1,2000-08-12,Lyon,Metz,0,0,D,0,0,D,1.6,3.4,5.0,1.6,3.2,4.2,,,,1.53,3.5,5.5,1.5,3.4,6.0
F1,2000-08-12,Strasbourg,Monaco,1,3,A,0,2,A,2.85,2.9,2.15,2.4,2.9,2.4,,,,2.88,3.0,2.25,2.87,3.0,2.25
F1,2000-08-12,Toulouse,St Etienne,1,1,D,1,1,D,2.5,3.0,2.6,2.2,2.8,2.8,,,,2.4,3.0,2.7,2.37,3.0,2.7
F1,2000-08-13,Marseille,Lens,0,0,D,0,0,D,1.71,3.5,4.0,1.8,3.0,3.5,,,,1.73,3.25,4.33,1.83,3.2,3.75
F1,2000-08-13,Paris SG,Sedan,2,1,H,1,1,D,1.41,3.1,9.0,1.4,3.6,5.5,,,,1.36,4.0,7.0,1.4,3.75,7.0
F1,2000-08-18,Bastia,Lyon,2,0,H,0,0,D,1.9,2.9,3.3,2.1,2.9,2.9,,,,2.1,3.1,3.2,2.1,2.9,3.3
F1,2000-08-19,Lens,Toulouse,2,1,H,1,1,D,1.5,3.4,6.0,1.5,3.2,5.0,,,,1.5,3.5,6.25,1.45,3.6,6.5
F1,2000-08-19,Metz,Paris SG,1,0,H,0,0,D,3.0,2.8,2.2,2.45,2.8,2.45,,,,2.8,3.1,2.3,3.1,3.0,2.15
F1,2000-08-19,Nantes,Marseille,3,2,H,1,1,D,2.15,3.1,3.0,2.1,2.8,3.0,,,,2.1,3.25,3.0,2.1,3.1,3.1
F1,2000-08-19,Rennes,Strasbourg,3,0,H,1,0,H,1.66,3.15,4.7,1.6,3.2,4.2,,,,1.67,3.3,4.75,1.6,3.3,5.0
F1,2000-08-19,Sedan,Lille,1,0,H,0,0,D,1.3,3.35,3.3,1.9,2.8,3.3,,,,1.91,3.25,3.5,1.9,3.1,3.6
F1,2000-08-19,St Etienne,Bordeaux,1,0,H,1,0,H,2.3,3.1,2.6,2.1,2.9,2.9,,,,2.1,3.25,3.0,2.2,3.0,3.0
F1,2000-08-19,Troyes,Auxerre,1,0,H,0,0,D,2.35,2.9,2.7,2.3,2.9,2.5,,,,2.4,3.2,2.6,2.5,2.9,2.65
F1,2000-08-20,Monaco,Guingamp,1,0,H,0,0,D,1.3,4.3,7.0,1.35,3.8,6.2,,,,1.36,3.75,8.5,1.25,4.5,10.0
F1,2000-08-26,Bordeaux,Lens,1,1,D,0,1,A,1.9,3.25,3.45,1.9,2.9,3.2,,,,2.1,3.1,3.2,2.05,3.0,3.3
F1,2000-08-26,Lille,Metz,2,1,H,0,1,A,1.95,3.2,3.3,2.1,2.9,2.9,,,,2.05,3.2,3.2,2.0,3.1,3.35
F1,2000-08-26,Lyon,Troyes,1,0,H,0,0,D,1.55,3.4,5.0,1.45,3.5,5.0,,,,1.5,3.5,6.0,1.45,3.6,6.5
F1,2000-08-26,Marseille,Guingamp,3,1,H,1,0,H,1.4,3.8,6.7,1.45,3.5,5.0,,,,1.44,3.6,7.0,1.45,3.6,6.5
F1,2000-08-26,Rennes,Monaco,1,1,D,1,0,H,2.4,3.05,2.65,2.4,2.9,2.4,,,,2.6,3.0,2.5,2.7,2.9,2.45
