Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
I1,2000-09-30,Bari,Verona,1,1,D,0,0,D,1.9,2.9,3.7,1.9,2.7,3.4,1.85,3.2,3.75,1.9,3.0,4.0,1.83,3.0,4.0
I1,2000-09-30,Napoli,Juventus,1,2,A,1,0,H,3.4,2.9,1.95,3.0,2.8,2.1,3.75,3.0,1.9,3.75,3.1,1.91,3.75,2.8,2.0
I1,2000-10-01,Atalanta,Lazio,2,2,D,1,1,D,,,,3.6,3.1,1.75,4.3,3.2,1.7,3.75,3.25,1.8,4.0,3.1,1.8
I1,2000-10-01,Milan,Vicenza,2,0,H,1,0,H,1.2,5.0,10.0,1.25,4.3,8.0,1.25,4.5,10.0,1.25,4.6,10.0,1.25,4.33,11.0
I1,2000-10-01,Parma,Fiorentina,2,2,D,1,0,H,1.7,3.1,4.6,1.65,3.1,4.0,1.7,3.2,4.3,1.65,3.25,4.5,1.72,3.1,4.5
I1,2000-10-01,Perugia,Lecce,1,1,D,0,1,A,1.85,3.05,3.8,1.7,3.1,3.8,1.8,3.2,4.0,1.95,3.1,3.5,1.9,2.87,4.0
I1,2000-10-01,Reggina,Inter,2,1,H,1,1,D,3.8,2.9,1.9,3.5,3.0,1.8,4.0,3.2,1.8,4.0,3.1,1.85,4.0,2.87,1.9
I1,2000-10-01,Roma,Bologna,2,0,H,1,0,H,1.43,3.3,6.5,1.45,3.5,5.0,1.45,3.5,7.0,1.4,3.6,7.0,1.36,3.75,8.0
I1,2000-10-01,Udinese,Brescia,4,2,H,1,0,H,1.57,3.3,5.2,1.5,3.4,4.7,1.55,3.25,5.5,1.57,3.4,5.5,1.53,3.4,5.5
I1,2000-10-14,Inter,Napoli,3,1,H,3,0,H,1.25,4.55,8.5,1.4,3.6,5.5,1.4,3.75,7.0,1.35,4.0,8.0,1.33,4.0,8.0
I1,2000-10-14,Lazio,Perugia,3,0,H,1,0,H,1.2,5.0,10.0,1.2,4.7,9.0,1.25,4.5,10.0,1.2,5.0,12.0,1.2,5.0,11.0
I1,2000-10-15,Bologna,Milan,2,1,H,1,0,H,3.4,2.85,2.1,3.0,2.9,2.0,3.4,3.0,2.0,3.25,3.0,2.1,3.2,2.8,2.2
I1,2000-10-15,Brescia,Parma,0,0,D,0,0,D,3.2,2.85,2.2,3.0,2.9,2.0,3.2,3.0,2.1,3.1,2.9,2.25,3.25,2.75,2.2
I1,2000-10-15,Fiorentina,Reggina,2,1,H,0,0,D,1.35,3.7,8.5,1.4,3.6,5.5,1.4,3.5,8.0,1.4,3.75,7.5,1.36,3.75,8.0
I1,2000-10-15,Juventus,Bari,2,0,H,1,0,H,1.23,4.55,10.0,1.3,4.0,7.0,1.2,4.5,11.0,1.29,4.33,9.0,1.25,4.5,10.0
