Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
I1,2001-08-25,Bologna,Atalanta,1,0,H,1,0,H,,,,1.9,2.8,3.3,,,,,,,1.91,3.0,3.75,1.9,3.0,3.75
I1,2001-08-26,Brescia,Milan,2,2,D,2,0,H,,,,3.0,2.8,2.1,,,,,,,3.2,3.0,2.1,3.3,2.87,2.1
I1,2001-08-26,Fiorentina,Chievo,0,2,A,0,1,A,,,,1.45,3.5,5.0,,,,,,,1.4,3.75,7.0,1.44,3.75,6.0
I1,2001-08-26,Inter,Perugia,4,1,H,2,0,H,,,,1.4,3.6,5.5,,,,,,,1.29,4.33,8.5,1.25,4.5,10.0
I1,2001-08-26,Juventus,Venezia,4,0,H,3,0,H,,,,1.2,4.7,9.0,,,,,,,1.2,5.0,11.0,1.2,5.0,11.0
I1,2001-08-26,Lazio,Piacenza,1,1,D,0,0,D,,,,1.2,4.7,9.0,,,,,,,1.22,5.0,9.0,1.25,4.5,10.0
I1,2001-08-26,Lecce,Parma,1,1,D,1,0,H,,,,2.8,2.8,2.2,,,,,,,2.8,2.88,2.38,2.6,2.8,2.6
I1,2001-08-26,Udinese,Torino,2,2,D,0,2,A,,,,1.75,3.1,3.6,,,,,,,1.8,3.2,4.0,1.9,3.0,3.75
I1,2001-08-26,Verona,Roma,1,1,D,0,1,A,,,,3.8,2.9,1.75,,,,,,,4.33,3.0,1.8,4.5,3.1,1.72
I1,2001-09-08,Perugia,Lazio,0,0,D,0,0,D,,,,3.2,2.9,1.9,,,,3.25,3.0,2.1,3.2,3.0,2.1,3.6,2.87,2.0
I1,2001-09-08,Roma,Udinese,1,1,D,0,0,D,,,,1.35,3.8,6.2,,,,1.3,4.33,8.5,1.29,4.33,8.5,1.25,4.5,10.0
I1,2001-09-09,Atalanta,Juventus,0,2,A,0,1,A,,,,3.6,2.9,1.8,,,,3.6,3.1,1.95,3.75,3.0,1.91,3.75,3.2,1.83
I1,2001-09-09,Chievo,Bologna,2,0,H,1,0,H,,,,2.45,2.8,2.45,,,,2.4,2.9,2.8,2.38,2.8,2.88,2.37,2.9,2.8
I1,2001-09-09,Milan,Fiorentina,5,2,H,3,1,H,,,,1.35,3.8,6.2,,,,1.4,3.75,7.0,1.4,3.75,7.0,1.36,3.75,8.0
I1,2001-09-09,Parma,Inter,2,2,D,1,2,A,,,,2.3,2.7,2.7,,,,2.38,3.0,2.75,2.38,2.88,2.8,2.4,2.9,2.75
I1,2001-09-09,Piacenza,Lecce,1,2,A,1,0,H,,,,1.9,2.7,3.4,,,,1.91,3.0,3.75,1.91,3.0,3.75,1.9,3.0,3.75
I1,2001-09-09,Torino,Brescia,1,3,A,1,1,D,,,,1.9,2.7,3.4,,,,2.2,2.9,3.1,2.1,3.0,3.2,2.1,2.87,3.3
I1,2001-09-09,Venezia,Verona,0,1,A,0,0,D,,,,2.1,2.8,3.0,,,,2.25,2.9,3.0,2.2,3.0,3.0,2.2,2.8,3.2
I1,2001-09-15,Juventus,Chievo,3,2,H,2,2,D,,,,1.2,4.7,9.0,,,,1.22,5.0,10.0,1.2,5.5,9.0,1.2,5.0,11.0
I1,2001-09-16,Bologna,Parma,1,0,H,0,0,D,,,,2.4,2.7,2.6,,,,2.5,3.0,2.6,2.5,2.88,2.62,2.4,2.87,2.8
I1,2001-09-16,Brescia,Lecce,1,1,D,0,1,A,,,,1.7,3.1,3.8,,,,1.73,3.2,4.33,1.8,3.1,4.0,1.72,3.1,4.5
I1,2001-09-16,Fiorentina,Atalanta,3,1,H,2,1,H,,,,1.9,2.7,3.4,,,,2.0,3.2,3.3,2.0,3.0,3.4,2.0,3.0,3.4
I1,2001-09-16,Inter,Venezia,2,1,H,0,0,D,,,,1.2,4.7,9.0,,,,1.2,5.25,10.0,1.22,5.0,9.0,1.22,5.0,9.5
