Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
I1,2002-09-14,Bologna,Roma,2.0,1.0,H,0.0,1.0,A,2.8,2.875,2.375,3.05,2.9,2.35,2.9,2.8,2.3,2.8,2.875,2.375,3.0,2.88,2.3,3.0,2.875,2.375,3.0,2.8,2.3,2.05,1.75,,
I1,2002-09-14,Como,Empoli,0.0,2.0,A,0.0,1.0,A,2.0,2.875,3.6,2.11,3.0,3.7,1.9,2.8,4.0,1.909,3.0,3.75,2.0,3.0,3.5,2.0,3.0,3.75,1.9,3.0,3.75,2.0,1.77,,
I1,2002-09-14,Inter,Torino,1.0,0.0,H,1.0,0.0,H,1.333,4.0,8.0,1.33,4.25,10.0,1.3,4.0,8.5,1.364,3.75,8.0,1.3,4.33,8.5,1.3,4.333,10.0,1.3,4.0,9.5,1.67,1.95,,
I1,2002-09-14,Modena,Milan,0.0,3.0,A,0.0,1.0,A,4.333,3.2,1.727,4.5,3.2,1.75,4.2,3.1,1.75,4.333,3.2,1.727,5.0,3.1,1.67,4.75,3.1,1.75,4.5,2.9,1.8,1.9,1.86,,
I1,2002-09-15,Brescia,Piacenza,1.0,2.0,A,0.0,0.0,D,1.909,3.0,3.75,2.05,2.95,4.0,1.9,2.8,4.0,2.0,2.875,3.6,1.91,3.0,3.8,1.909,3.0,4.0,1.9,2.87,4.0,1.95,1.65,,
I1,2002-09-15,Juventus,Atalanta,3.0,0.0,H,2.0,0.0,H,1.333,4.0,8.0,1.36,4.3,9.0,1.3,4.0,8.5,1.364,3.75,8.0,1.33,4.0,8.5,1.333,4.2,9.0,1.28,4.2,9.0,1.75,1.92,,
I1,2002-09-15,Lazio,Chievo,2.0,3.0,A,1.0,1.0,D,1.667,3.25,4.5,1.74,3.3,5.0,1.65,3.2,4.6,1.667,3.25,4.5,1.62,3.4,5.0,1.667,3.3,5.0,1.61,3.1,5.5,1.67,2.01,,
I1,2002-09-15,Perugia,Reggina,2.0,0.0,H,0.0,0.0,D,1.727,3.1,4.5,1.94,3.0,4.65,1.8,2.9,4.2,1.8,3.0,4.333,1.8,3.0,4.5,1.75,3.0,4.75,1.83,2.87,4.33,1.95,1.72,,
I1,2002-09-15,Udinese,Parma,1.0,1.0,D,0.0,1.0,A,2.3,3.0,2.8,2.4,3.0,3.0,2.3,2.9,2.8,2.25,3.0,2.875,2.25,3.0,3.0,2.3,3.0,3.0,2.37,2.8,2.9,1.8,1.98,,
I1,2002-09-21,Empoli,Juventus,0.0,2.0,A,0.0,1.0,A,4.333,3.2,1.727,5.0,3.2,1.83,4.0,3.0,1.8,,,,4.0,3.2,1.8,4.2,3.2,1.8,4.5,2.87,1.8,1.85,1.75,,
I1,2002-09-21,Milan,Perugia,3.0,0.0,H,1.0,0.0,H,1.286,4.5,8.0,1.33,4.25,11.0,1.3,4.2,8.0,,,,1.29,4.33,9.5,1.3,4.333,9.5,1.3,4.0,9.5,1.71,1.95,,
I1,2002-09-22,Atalanta,Bologna,2.0,2.0,D,1.0,1.0,D,2.2,3.0,3.0,2.25,2.95,3.3,2.2,2.8,3.1,,,,2.2,3.0,3.1,2.2,3.1,3.0,2.25,2.8,3.1,1.75,1.9,,
I1,2002-09-22,Chievo,Brescia,1.0,2.0,A,0.0,0.0,D,1.667,3.25,4.5,1.7,3.2,4.9,1.75,3.2,4.0,,,,1.73,3.2,4.5,1.727,3.2,4.6,1.61,3.1,5.5,1.7,1.93,,
I1,2002-09-22,Parma,Como,2.0,0.0,H,1.0,0.0,H,1.5,3.4,6.0,1.5,3.4,7.0,1.6,3.3,4.8,,,,1.5,3.5,6.0,1.5,3.5,6.5,1.44,3.4,7.0,1.7,1.9,,
I1,2002-09-22,Piacenza,Udinese,2.0,0.0,H,1.0,0.0,H,2.1,3.0,3.2,2.23,2.9,3.3,2.1,2.8,3.3,,,,2.2,3.0,3.1,2.2,3.0,3.2,2.1,2.87,3.3,1.75,1.85,,
I1,2002-09-22,Reggina,Inter,1.0,2.0,A,0.0,1.0,A,4.0,3.0,1.833,5.0,3.2,1.82,3.6,3.0,1.9,,,,4.2,3.0,1.83,4.2,3.1,1.85,4.0,3.0,1.83,1.88,1.75,,
I1,2002-09-22,Roma,Modena,1.0,2.0,A,1.0,1.0,D,1.222,5.0,9.0,1.25,4.75,11.0,1.25,4.5,9.0,,,,1.25,4.5,11.0,1.25,4.6,11.0,1.22,4.5,12.0,1.65,1.95,,
I1,2002-09-22,Torino,Lazio,0.0,1.0,A,0.0,0.0,D,2.4,3.0,2.7,2.55,2.87,2.85,2.4,2.8,2.8,,,,2.5,3.0,2.6,2.5,3.0,2.7,2.5,2.8,2.7,1.8,1.8,,
