Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 44
I1,2003-08-30,Reggina,Sampdoria,2,2,D,2,0,H,2.25,3.0,3.1,2.3,2.9,3.1,2.2,2.7,3.2,2.2,3.0,3.0,2.25,3.0,3.0,2.25,3.0,3.0,2.2,2.87,3.1,1.9,1.79,1.83,1.83,2.0,1.8,-0.25,2.05,1.8,-0.25,2.075,1.825,-0.25,
I1,2003-08-31,Bologna,Parma,2,2,D,1,1,D,2.3,3.0,3.0,2.35,2.9,3.0,2.2,2.8,3.1,2.25,3.0,2.875,2.25,3.0,3.0,2.25,3.0,3.0,2.25,2.87,3.0,1.9,1.79,1.9,1.8,2.1,1.75,-0.25,2.1,1.75,-0.25,1.75,2.15,0.0,
I1,2003-08-31,Brescia,Chievo,1,1,D,0,1,A,2.375,3.0,2.875,2.35,2.9,3.0,2.3,2.7,3.0,2.25,3.0,2.875,2.3,3.0,2.88,2.3,3.0,2.87,2.25,3.0,2.87,1.9,1.79,2.0,1.72,2.05,1.77,-0.25,2.1,1.75,-0.25,1.75,2.15,0.0,
I1,2003-08-31,Inter,Modena,2,0,H,0,0,D,1.25,5.0,10.0,1.25,4.5,11.0,1.3,4.2,8.0,1.25,4.5,10.0,1.22,5.0,10.0,1.22,4.8,11.0,1.25,4.5,10.0,1.65,2.05,1.8,1.9,1.85,1.95,-1.5,1.9,1.95,-1.5,1.925,1.975,-1.5,
I1,2003-08-31,Juventus,Empoli,5,1,H,1,0,H,1.222,5.0,13.0,1.25,4.5,11.0,1.25,4.5,9.0,1.25,4.5,10.0,1.22,5.0,10.0,1.22,4.8,11.0,1.2,5.0,11.0,1.55,2.25,1.72,2.0,1.85,1.95,-1.5,1.85,2.0,-1.5,1.875,2.025,-1.5,
I1,2003-08-31,Lazio,Lecce,4,1,H,3,0,H,1.333,4.0,10.0,1.4,3.75,7.7,1.35,4.0,7.0,1.333,3.75,9.0,1.33,4.0,8.5,1.33,4.0,8.5,1.36,3.6,9.0,1.6,2.15,1.8,1.9,1.8,2.0,-1.25,2.05,1.8,-1.5,1.9,2.0,-1.25,
I1,2003-08-31,Perugia,Siena,2,2,D,2,1,H,1.667,3.2,5.5,1.67,3.2,5.25,1.7,3.1,4.4,1.667,2.875,5.5,1.67,3.2,5.0,1.66,3.2,5.0,1.66,3.1,5.0,1.9,1.79,1.9,1.8,1.8,2.0,-0.75,1.85,2.0,-0.75,1.9,2.0,-0.75,
I1,2003-08-31,Udinese,Roma,1,2,A,1,1,D,2.6,3.2,2.5,2.55,3.0,2.65,2.5,3.0,2.5,2.4,3.0,2.625,2.6,2.88,2.6,2.6,2.87,2.6,2.5,2.9,2.62,1.75,1.95,1.9,1.8,1.8,2.0,0.0,1.9,1.95,0.0,1.9,2.0,0.0,
I1,2003-09-01,Ancona,Milan,0,2,A,0,1,A,5.0,3.1,1.727,5.25,3.2,1.67,4.2,3.2,1.7,4.5,3.25,1.667,5.0,3.2,1.67,5.0,3.2,1.66,4.5,3.1,1.72,1.79,1.9,1.83,1.83,1.7,2.1,1.0,2.0,1.85,0.75,2.0,1.9,0.75,
I1,2003-09-13,Milan,Bologna,2,1,H,1,1,D,1.33,4.33,8.5,1.36,4.0,8.5,1.35,3.8,7.5,1.364,3.75,8.0,1.36,4.0,7.5,1.36,4.0,7.5,1.36,3.75,8.0,1.75,1.95,1.8,1.9,2.0,1.8,-1.25,2.0,1.85,-1.25,1.8,2.1,-1.0,
I1,2003-09-13,Sampdoria,Lazio,1,2,A,0,1,A,3.1,3.0,2.25,3.0,3.0,2.3,3.1,2.8,2.2,2.875,3.0,2.25,3.0,3.0,2.25,3.0,3.0,2.25,2.8,2.9,2.37,1.9,1.79,2.0,1.72,1.8,2.0,0.25,1.85,2.0,0.25,1.9,2.0,0.25,
I1,2003-09-14,Chievo,Juventus,1,2,A,1,1,D,4.0,3.25,1.83,4.2,3.1,1.85,3.6,3.0,1.9,4.0,3.0,1.833,4.0,3.25,1.8,4.0,3.1,1.85,4.0,2.87,1.9,1.75,1.95,1.83,1.83,1.95,1.85,0.5,2.0,1.85,0.5,1.975,1.925,0.5,
I1,2003-09-14,Empoli,Reggina,1,1,D,1,1,D,2.0,3.0,3.75,2.05,2.9,3.7,1.9,2.8,4.0,2.1,3.0,3.2,2.0,3.0,3.5,2.0,3.0,3.5,2.0,2.87,3.6,2.05,1.65,2.0,1.72,2.05,1.77,-0.5,2.1,1.75,-0.5,2.05,1.85,-0.5,
I1,2003-09-14,Lecce,Ancona,3,1,H,1,0,H,1.8,3.2,4.33,1.85,3.0,4.35,1.8,2.9,4.2,1.8,3.0,4.333,1.83,3.0,4.33,1.83,2.9,4.33,1.9,2.87,4.0,2.05,1.65,2.0,1.72,1.85,1.95,-0.5,1.75,2.1,-0.5,1.875,2.025,-0.5,
I1,2003-09-14,Modena,Udinese,0,1,A,0,0,D,2.4,3.1,2.75,2.5,2.85,2.85,2.4,2.8,2.8,2.375,3.0,2.75,2.5,3.0,2.62,2.5,3.0,2.6,2.37,3.0,2.7,2.0,1.71,2.1,1.66,1.77,2.05,0.0,1.75,2.1,0.0,1.875,2.025,-0.5,
I1,2003-09-14,Parma,Perugia,3,0,H,1,0,H,1.66,3.4,5.0,1.65,3.25,5.3,1.6,3.2,5.0,1.533,3.25,6.0,1.67,3.2,5.0,1.66,3.2,5.0,1.53,3.25,6.0,1.85,1.85,1.8,1.9,1.85,1.95,-0.75,1.85,2.0,-0.75,1.825,2.075,-0.75,
I1,2003-09-14,Roma,Brescia,5,0,H,3,0,H,1.4,3.75,8.5,1.4,3.8,8.0,1.4,3.7,6.5,1.4,3.5,8.0,1.4,3.75,7.5,1.4,3.75,7.5,1.36,3.75,8.0,1.71,2.0,1.8,1.9,1.9,1.9,-1.25,1.9,1.95,-1.25,2.0,1.9,-1.25,
I1,2003-09-14,Siena,Inter,0,1,A,0,1,A,4.33,3.2,1.8,4.5,3.1,1.8,4.0,3.0,1.8,4.333,3.2,1.727,4.33,3.0,1.8,4.2,3.1,1.8,5.0,2.9,1.72,1.85,1.85,1.83,1.83,2.0,1.8,0.5,1.95,1.9,0.5,2.025,1.875,0.5,
I1,2003-09-20,Ancona,Modena,1,1,D,0,0,D,2.2,3.0,3.2,2.2,2.9,3.2,2.2,2.8,3.1,2.1,3.0,3.2,2.2,2.88,3.2,2.2,2.87,3.2,2.1,2.87,3.3,2.05,1.65,2.0,1.72,2.0,1.8,-0.25,,,,2.025,1.875,-0.25,
I1,2003-09-20,Siena,Empoli,4,0,H,2,0,H,2.1,3.0,3.5,2.0,2.95,3.65,2.0,2.9,3.4,2.0,3.0,3.4,2.0,3.0,3.5,2.0,3.0,3.5,2.1,2.75,3.5,2.05,1.65,2.0,1.72,1.75,2.05,-0.25,2.05,1.8,-0.5,2.1,1.8,-0.5,
I1,2003-09-21,Bologna,Udinese,2,0,H,0,0,D,2.1,3.0,3.5,2.1,2.95,3.35,2.1,2.8,3.3,2.1,3.0,3.2,2.0,3.0,3.5,2.0,3.0,3.5,2.0,2.87,3.6,1.85,1.85,2.0,1.72,1.85,1.95,-0.25,1.85,2.0,-0.25,1.9,2.0,-0.25,
I1,2003-09-21,Brescia,Reggina,4,4,D,1,2,A,1.9,3.1,4.0,1.95,3.0,3.75,1.9,2.9,3.8,1.833,3.0,4.0,1.83,3.1,4.0,1.83,3.1,4.0,1.83,3.0,4.0,2.0,1.71,1.9,1.8,1.9,1.9,-0.5,1.95,1.9,-0.5,2.1,1.8,-0.5,
I1,2003-09-21,Inter,Sampdoria,0,0,D,0,0,D,1.4,4.0,7.5,1.4,3.75,7.6,1.35,4.0,7.0,1.364,3.6,9.0,1.33,4.0,8.5,1.33,4.2,8.0,1.33,4.0,8.0,1.65,2.05,1.8,1.9,2.15,1.7,-1.5,1.85,2.0,-1.25,1.9,2.0,-1.25,
I1,2003-09-21,Juventus,Roma,2,2,D,2,1,H,1.9,3.1,4.0,1.85,3.1,4.0,1.9,2.9,3.8,1.8,3.2,4.0,1.8,3.1,4.2,1.8,3.1,4.2,,,,1.75,1.95,1.9,1.8,2.15,1.7,-0.75,1.95,1.9,-0.5,2.0,1.9,-0.5,
I1,2003-09-21,Lazio,Parma,2,3,A,1,1,D,1.72,3.1,5.0,1.7,3.15,4.85,1.7,3.1,4.4,1.667,3.25,4.5,1.73,3.2,4.5,1.72,3.2,4.5,1.72,3.2,4.33,1.71,2.0,1.8,1.9,2.0,1.8,-0.75,1.8,2.05,-0.5,1.85,2.05,-0.5,
I1,2003-09-21,Lecce,Chievo,1,2,A,0,0,D,2.37,3.0,2.87,2.37,2.95,2.85,2.3,2.8,2.9,2.375,3.0,2.75,2.38,3.0,2.75,2.4,3.0,2.75,2.4,2.9,2.75,1.9,1.79,1.9,1.8,2.05,1.75,-0.25,2.1,1.75,-0.25,2.1,1.8,-0.25,
I1,2003-09-21,Perugia,Milan,1,1,D,1,1,D,4.0,3.1,1.9,4.0,3.1,1.85,3.4,2.9,2.0,3.75,3.0,1.909,3.75,3.1,1.91,3.75,3.1,1.9,4.0,3.1,1.8,1.85,1.85,1.9,1.8,1.7,2.15,0.75,1.9,1.95,0.5,1.95,1.95,0.5,
I1,2003-09-27,Reggina,Juventus,0,2,A,0,1,A,4.5,3.2,1.72,4.5,3.15,1.75,4.0,3.2,1.75,4.333,3.2,1.727,4.5,3.5,1.67,4.5,3.2,1.72,4.5,3.1,1.72,1.75,1.95,1.83,1.83,2.08,1.75,0.5,2.05,1.8,0.5,2.05,1.85,0.5,
I1,2003-09-27,Udinese,Inter,0,0,D,0,0,D,3.25,3.0,2.1,3.2,3.1,2.1,2.8,2.9,2.3,3.0,3.0,2.2,3.25,3.0,2.1,3.25,3.0,2.1,3.4,3.0,2.0,1.79,1.85,1.83,1.83,1.9,1.9,0.25,1.95,1.9,0.25,1.975,1.925,0.25,
I1,2003-09-28,Chievo,Perugia,4,1,H,1,0,H,1.8,3.0,4.33,1.8,3.0,4.5,1.8,3.0,4.0,1.667,3.25,4.5,1.8,3.0,4.33,1.83,3.0,4.2,1.8,3.1,4.0,1.71,2.0,1.8,1.9,2.3,1.55,-1.0,1.75,2.1,-0.5,1.85,2.05,-0.5,
I1,2003-09-28,Empoli,Lazio,2,2,D,0,1,A,4.5,3.2,1.72,4.75,3.2,1.7,4.2,3.2,1.7,4.0,3.2,1.8,4.5,3.0,1.8,4.5,3.0,1.8,4.5,3.1,1.72,1.71,2.0,1.8,1.9,1.8,2.0,0.75,1.85,2.0,0.75,2.1,1.8,0.5,
I1,2003-09-28,Milan,Lecce,3,0,H,1,0,H,1.22,5.0,10.0,1.22,5.0,11.0,1.25,4.5,9.0,1.222,5.0,10.0,1.22,5.0,10.0,1.22,5.0,10.0,1.2,5.0,11.0,1.5,2.35,1.72,2.0,1.9,1.9,-1.5,2.0,1.85,-1.5,1.95,1.95,-1.5,
