Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,2025-08-23,Luigi Ferraris,Genoa,Lecce,0 - 0
3,1,2025-08-23,San Siro,Milan,Cremonese,2-Jan
4,1,2025-08-23,Olimpico,Roma,Bologna,Jan-00
5,1,2025-08-24,Unipol Domus,Cagliari,Fiorentina,1-Jan
6,1,2025-08-24,Giuseppe Sinigaglia,Como,Lazio,Feb-00
7,1,2025-08-24,Atleti Azzurri d'Italia,Atalanta,Pisa,1-Jan
8,1,2025-08-24,Juventus Stadium,Juventus,Parma,Feb-00
9,1,2025-08-25,Friuli,Udinese,Hellas Verona,1-Jan
10,1,2025-08-25,Giuseppe Meazza,Inter,Torino,May-00
11,2,2025-08-29,Giovanni Zini,Cremonese,Sassuolo,2-Mar
12,2,2025-08-29,Ettore Giardiniero - Via del mare,Lecce,Milan,0 - 2
13,2,2025-08-30,Renato Dall'Ara,Bologna,Como,Jan-00
14,2,2025-08-30,Ennio Tardini,Parma,Atalanta,1-Jan
15,2,2025-08-30,Diego Armando Maradona,Napoli,Cagliari,Jan-00
16,2,2025-08-30,Garibaldi,Pisa,Roma,0 - 1
17,2,2025-08-31,Luigi Ferraris,Genoa,Juventus,0 - 1
18,2,2025-08-31,Olimpico Grande Torino,Torino,Fiorentina,0 - 0
19,2,2025-08-31,Giuseppe Meazza,Inter,Udinese,2-Jan
20,2,2025-08-31,Olimpico,Lazio,Hellas Verona,Apr-00
21,3,2025-09-13,Unipol Domus,Cagliari,Parma,Feb-00
22,3,2025-09-13,Juventus Stadium,Juventus,Inter,3-Apr
23,3,2025-09-13,Artemio Franchi,Fiorentina,Napoli,3-Jan
24,3,2025-09-14,Olimpico,Roma,Torino,0 - 1
25,3,2025-09-14,Atleti Azzurri d'Italia,Atalanta,Lecce,1-Apr
26,3,2025-09-14,Garibaldi,Pisa,Udinese,0 - 1
28,3,2025-09-14,San Siro,Milan,Bologna,Jan-00
29,3,2025-09-15,Marcantonio Bentegodi,Hellas Verona,Cremonese,0 - 0
30,3,2025-09-15,Giuseppe Sinigaglia,Como,Genoa,1-Jan
39,4,2025-09-19,Ettore Giardiniero - Via del mare,Lecce,Cagliari,2-Jan
34,4,2025-09-20,Renato Dall'Ara,Bologna,Genoa,1-Feb
